# words.txt  SHIP NOW
# devanagari|iast|gloss|pack|seed
# Skip # and blank. Never a bare word.
क|ka|k|matra|क is kaṇṭhya. Column 1 of the throat row. A letter is an address on the nāda-path.
ख|kha|kh|matra|ख is the same throat seat as क, with a puff (mahāprāṇa).
ग|ga|g|matra|ग is kaṇṭhya, voiced. Same seat, folds buzzing.
घ|gha|gh|matra|घ is throat, voiced and aspirated. Seat plus effort names it.
ङ|ṅa|ṅ|matra|ङ is throat plus nose. The nasal of the क-row.
ा|ā-mātrā|long-a sign|matra|ा is आ on a consonant. क + ा → का. One beat becomes two.
ि|i-mātrā|short-i sign|matra|ि is इ, palatal, written before, spoken at the palate. क + ि → कि.
ु|u-mātrā|short-u sign|matra|ु is उ at the lips. क + ु → कु.
े|e-mātrā|e sign|matra|े is ए, throat plus palate.
माता|mātā|mother|family|माता is lips then teeth. Often the first joined word.
पिता|pitā|father|family|पिता is a lip-stop then a teeth-stop.
भ्राता|bhrātā|brother|family|भ्राता begins with भ, a voiced puff at the lips.
स्वसा|svasā|sister|family|स्वसा is the old sister-word. A name, not a rank.
पुत्रः|putraḥ|son|family|पुत्रः is a-masculine, same pack as रामः.
पुत्री|putrī|daughter|family|पुत्री is ī-feminine of the same family-stem.
बालकः|bālakaḥ|boy|family|बालकः can swap for राम in the same puzzle. No new engine.
बालिका|bālikā|girl|family|बालिका is ā-feminine. Same puzzle, new stem.
मित्रम्|mitram|friend|family|मित्रम् is a-neuter. A friend-word.
गुरुः|guruḥ|teacher|family|गुरुः is the teacher of house and school.
गृहम्|gṛham|home|family|गृहम् is home. Vocalic ṛ.
परिवारः|parivāraḥ|family|family|परिवारः names the whole set.
गुरुः|guruḥ|teacher|school|गुरुः sits on the school shelf too. Same word, two shelves, still one tile.
पुस्तकम्|pustakam|book|school|पुस्तकम् is a-neuter. Deepakam is the real book.
पाठः|pāṭhaḥ|lesson|school|पाठः is the lesson. gsde*.txt stay the real पाठ.
शिरः|śiraḥ|head|body-laghu|शिरः is the head. Mūrdhā is the letter-seat; this is the body-name.
नेत्रम्|netram|eye|body-laghu|नेत्रम् is the eye. Point-at only.
हस्तः|hastaḥ|hand|body-laghu|हस्तः is the hand. Five aṅguli-s teach पञ्च.
पादः|pādaḥ|foot|body-laghu|पादः is the foot. Here it is the limb.
हृदयम्|hṛdayam|heart|body-laghu|हृदयम्: बनाओ as हृ द य म्. Body-name, not treatment.
जलम्|jalam|water|food|जलम् is water. Palate then teeth. First बनाओ.
अन्नम्|annam|food|food|अन्नम् is the food-word. A thing you eat, not a diet.
फलम्|phalam|fruit|food|फलम् is fruit. Toy sentence: रामः फलं खादति।
अहम्|aham|I|glue|अहम् is I.
त्वम्|tvam|you|glue|त्वम् is you.
एतत्|etat|this|glue|एतत् is this. Point-at glue.
न|na|not|glue|न turns a sentence around.
च|ca|and|glue|च is and. The smallest glue.
अस्ति|asti|is|glue|अस्ति is is. Gap: मम गृहे ____।
रक्तः|raktaḥ|red|colours|रक्तः बालकः · रक्ता बालिका · रक्तं पुष्पम्. One colour, three dresses.
श्वेतः|śvetaḥ|white|colours|श्वेतः is white, middle flag-name.
कृष्णः|kṛṣṇaḥ|dark|colours|कृष्णः is dark. Crown-sounds ṛ and ṣ.
हरितः|haritaḥ|green|colours|हरितः is green, third flag-name.
पीतः|pītaḥ|yellow|colours|पीतः matches हरिद्रा: colour to plant. No recipe.
नीलः|nīlaḥ|blue|colours|नीलः is blue. Seed-cousin: नीलकण्ठः, a kathā-name, not a costume.
कपिशः|kapiśaḥ|tawny|colours|कपिशः is tawny. A colour-word.
अरुणः|aruṇaḥ|dawn-red|colours|अरुणः is dawn-red. Seed-cousin of सूर्यः, not a myth lesson yet.
पाटलः|pāṭalaḥ|pink|colours|पाटलः is pink.
धूम्रः|dhūmraḥ|smoke-grey|colours|धूम्रः is smoke-grey. Colour only.
केसरः|kesaraḥ|saffron|colours|केसरः is saffron, first flag-name. क्रमः केसर श्वेत हरित.
एकम्|ekam|1|sankhya-0-10|एकम् is one. Later it glues as एकादश.
द्वे|dve|2|sankhya-0-10|द्वे is two.
त्रीणि|trīṇi|3|sankhya-0-10|त्रीणि is three. Tiles: पञ्च + त्रि = अष्ट.
चत्वारि|catvāri|4|sankhya-0-10|चत्वारि is four. Palatal च.
पञ्च|pañca|5|sankhya-0-10|पञ्च is five: palatal च plus nasal ञ. Five fingers; one varga.
षट्|ṣaṭ|6|sankhya-0-10|षट् is six. Retroflex ष, crown-seat.
सप्त|sapta|7|sankhya-0-10|सप्त is seven.
अष्ट|aṣṭa|8|sankhya-0-10|अष्ट is eight. Puzzle: पञ्च + त्रि = अष्ट, tiles not a calculator.
नव|nava|9|sankhya-0-10|नव is nine.
दश|daśa|10|sankhya-0-10|दश is ten. Palatal श. Closes the fingers.
प्राणः|prāṇaḥ|breath|nada-pathah|प्राणः is air pushed up from the lungs. The path starts here.
कण्ठः|kaṇṭhaḥ|throat|nada-pathah|कण्ठः is the voice-box seat. गकारः कण्ठस्य स्थानस्य अस्ति।
स्वरयन्त्रः|svarayantraḥ|voice-box|nada-pathah|स्वरयन्त्रः is the larynx-name. Folds buzz = नादः. A name, not a dissection.
नादः|nādaḥ|voiced buzz|nada-pathah|नादः is that buzz (voiced). Folds apart = whisper / अघोषः.
जिह्वा|jihvā|tongue|nada-pathah|जिह्वा is the movable wall that shapes the buzz into letters.
तालु|tālu|palate|nada-pathah|तालु is the palate-cave. इ च य श live here.
नासिका|nāsikā|nose|nada-pathah|नासिका is the side door: anusvāra and ङ ञ ण न म.
कर्णः|karṇaḥ|ear|nada-pathah|कर्णः is the receiver. श्रुतिः is what is heard.
कण्ठ्य|kaṇṭhya|throat-class|sthanam|कण्ठ्य: अ आ क-row ह विसर्ग. Address: throat.
तालव्य|tālavya|palate-class|sthanam|तालव्य: इ च-row य श. Address: palate.
मूर्धन्य|mūrdhanya|crown-class|sthanam|मूर्धन्य: ऋ ट-row र ष. Tongue curls to the crown.
दन्त्य|dantya|teeth-class|sthanam|दन्त्य: त-row ल स. Address: teeth.
ओष्ठ्य|oṣṭhya|lip-class|sthanam|ओष्ठ्य: उ प-row म. Address: lips.
नासिक्य|nāsikya|nose-class|sthanam|नासिक्य: ङ ञ ण न म. The nose-door.
तुलसी|tulasī|tulasī|osadhih|तुलसी is a courtyard plant-NAME. Respect the name; no ritual how-to.
हरिद्रा|haridrā|turmeric|osadhih|हरिद्रा wears पीतः. Match colour to plant. No treatment.
सूची|sūcī|needle (name)|sushruta-kosa|सूची = needle as a NAME. Match to सीवनम्. Never how-deep.
यन्त्रम्|yantram|holder class|sushruta-kosa|यन्त्रम् is the holding-class. He listed types the way a coder lists types.
सीवनम्|sīvanam|sewing-karma (name)|sushruta-kosa|सीवनम् is the sewing-karma NAME. Pair with सूची. No stitch lesson.
गङ्गा|gaṅgā|Gaṅgā|nadyah|गङ्गा is a river-name. मेलः गङ्गा ↔ नदी. Book-geography, not a hydrology sheet.
यमुना|yamunā|Yamunā|nadyah|यमुना is the second river this week. With गङ्गा she names the doab in the books.
नदी|nadī|river|nadyah|नदी is the river-word. Pair it with a named river.
तारा|tārā|star|katha-bija|तारा is a star-name. Saptarṣi are star-names too.
धूलिः|dhūliḥ|dust|katha-bija|धूलिः is dust. तारा-धूलिः is Sagan as a BRIDGE, not an identity.
नीलकण्ठः|nīlakaṇṭhaḥ|blue-throat (seed)|katha-bija|नीलकण्ठः is a 2-line seed from नीलः, not a costume and not a full kathā.
चैत्रः|caitraḥ|Caitra|masah|चैत्रः wears the nakṣatra of that full moon, Citrā.
चित्रा|citrā|Citrā|masah|चित्रा is the star that names the month चैत्रः.
सा|sā|sā|svara-raga|सा is the first step. Counterpart of do, not a copy. Label: bridge.
रे|re|re|svara-raga|रे is the second step. Counterpart of re.
ग|ga|ga|svara-raga|ग is the third step, a throat letter used as a note-name.
म|ma|ma|svara-raga|म is the fourth, a lip letter as a note-name.
प|pa|pa|svara-raga|प is the fifth.
ध|dha|dha|svara-raga|ध is the sixth, a teeth-puff, not द.
नि|ni|ni|svara-raga|नि is the seventh. Then सा returns.
रामः|rāmaḥ|Rama (citation)|stems|रामः is the teaching-stem. Visarga is a final breath, not the pitch.
राम्|rām|Rama base|stems|राम् has no final vowel. glue: राम् + अः → रामः. राम् + स्य → रामस्य.
रामस्य|rāmasya|Rama's|stems|रामस्य must stay रामस्य. परीक्षा. Blue ṣaṣṭhī. कस्य?
# --- SHELF packs (not in week.txt). After का Check. ---
प्रातः|prātaḥ|morning|kalah|प्रातः is morning. Point at the sky.
मध्याह्नः|madhyāhnaḥ|midday|kalah|मध्याह्नः is the middle of the day.
सायम्|sāyam|evening|kalah|सायम् is evening.
रात्रिः|rātriḥ|night|kalah|रात्रिः is night.
ह्यः|hyaḥ|yesterday|dinam|ह्यः is yesterday. A day you already stood in.
अद्य|adya|today|dinam|अद्य is today.
श्वः|śvaḥ|tomorrow|dinam|श्वः is tomorrow.
सः|saḥ|he / that (masc.)|glue|सः is he. A pointing word, not a name.
सा|sā|she / that (fem.)|glue|सा is she. Same pointing, other gender. (Also a sargam step on another shelf.)
ते|te|they / those|glue|ते is they. More than one.
एतत्|etat|this|glue|एतत् is this (near).
तत्|tat|that|glue|तत् is that (further).
अत्र|atra|here|glue|अत्र is here.
तत्र|tatra|there|glue|तत्र is there.
कुत्र|kutra|where|glue|कुत्र is where. The asking-place.
कः|kaḥ|who|glue|कः is who.
किम्|kim|what|glue|किम् is what.
छात्रः|chātraḥ|student|vrittih|छात्रः is the student. Pair with गुरुः.
कृषकः|kṛṣakaḥ|farmer|vrittih|कृषकः is a farmer. A person you can point at.
योद्धा|yoddhā|warrior|vrittih|योद्धा is a warrior-name. Not a battle lesson.
वैद्यः|vaidyaḥ|healer (name)|vrittih|वैद्यः is a name only. No treatment.
वसन्तः|vasantaḥ|spring|rtvah|वसन्तः is spring.
ग्रीष्मः|grīṣmaḥ|summer|rtvah|ग्रीष्मः is summer.
वर्षा|varṣā|rains|rtvah|वर्षा is the rains. A season-name. Weather-rain is वृष्टिः.
हेमन्तः|hemantaḥ|winter|rtvah|हेमन्तः is winter. Four seasons first.
सूर्यः|sūryaḥ|sun|vatah|सूर्यः is the sun. What the sky is doing.
मेघः|meghaḥ|cloud|vatah|मेघः is a cloud.
वायुः|vāyuḥ|wind|vatah|वायुः is wind.
वृष्टिः|vṛṣṭiḥ|rain (weather)|vatah|वृष्टिः is rain falling today. Not the season वर्षा.
शीतम्|śītam|cold|vatah|शीतम् is cold.
उष्णम्|uṣṇam|hot|vatah|उष्णम् is hot.
चक्षुः|cakṣuḥ|eye / seeing|indriyani|चक्षुः sees. Pair with रूपम्. Name, not a clinic.
श्रोत्रम्|śrotram|ear / hearing|indriyani|श्रोत्रम् hears. Pair with शब्दः.
घ्राणम्|ghrāṇam|nose / smell|indriyani|घ्राणम् smells. Pair with गन्धः.
रसना|rasanā|tongue / taste|indriyani|रसना tastes. Pair with रसः. Name, not a recipe.
त्वक्|tvak|skin / touch|indriyani|त्वक् touches. Pair with स्पर्शः.
रूपम्|rūpam|form / sight|indriyani|रूपम् is what the eye meets.
शब्दः|śabdaḥ|sound|indriyani|शब्दः is what the ear meets. (Sūtram button शब्दः सिध्यति is the same word as 'word'.)
गन्धः|gandhaḥ|smell|indriyani|गन्धः is what the nose meets.
रसः|rasaḥ|taste|indriyani|रसः is what the tongue meets.
स्पर्शः|sparśaḥ|touch|indriyani|स्पर्शः is what the skin meets.
दुग्धम्|dugdham|milk|food|दुग्धम् is milk. A bowl-word with अन्नम् जलम् फलम्.
चन्द्रः|candraḥ|moon|kalah|चन्द्रः is the moon. Night’s pair.
पुष्पम्|puṣpam|flower|rtvah|पुष्पम् is a flower. Spring’s pair.
# Nature (prakrtih)
गौः|goḥ|cow|prakrtih|गौः is a cow. Point-at name.
अश्वः|aśvaḥ|horse|prakrtih|अश्वः is a horse.
मत्स्यः|matsyaḥ|fish|prakrtih|मत्स्यः is a fish. Pairs with नदी.
